gene_id	gene_short_name	locus	FPKM_ECT095_R1	FPKM_ECT095_R2	FPKM_ECT105_R1	FPKM_ECT105_R2	FPKM_ECT115_R1	FPKM_ECT115_R2	FPKM_ECT125_R1	FPKM_ECT125_R2	FPKM_MES095_R1	FPKM_MES095_R2	FPKM_MES105_R1	FPKM_MES105_R2	FPKM_MES115_R1	FPKM_MES115_R2	FPKM_MES125_R1	FPKM_MES125_R2
ENSMUSG00000000216	Scnn1g	chr7:121734478-121768475	0.0569154	0.165354	0.0934016	0.168478	0.0118002	0.114426	0.235378	0.113252	0	0	0	0	0.0129559	0	0	0
ENSMUSG00000000223	Drp2	chrX:134404550-134456573	0.108566	0.0956142	0.319367	0.379292	0.26235	0.164901	0.219049	0.182272	0.308271	0.315897	1.18701	1.53187	1.22174	1.0767	1.89875	2.06764
ENSMUSG00000000244	Tspan32	chr7:143005045-143019644	0	0.284698	0	0.0458893	0.0719273	0	0	0	1.12897	0.454204	0.861779	1.32798	0.599597	0.852897	0.325848	0.468623
ENSMUSG00000000247	Lhx2	chr2:38339280-38369733	5.24742	3.6129	5.34213	7.68694	48.7736	3.03886	3.96815	3.14521	54.334	57.3802	95.4943	86.5023	120.479	97.3383	116.715	130.794
ENSMUSG00000000248	Clec2g	chr6:128934380-128984707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000253	Gmpr	chr13:45507443-45546382	2.90908	2.09737	2.54515	2.1245	4.87911	3.38457	4.83358	3.16478	7.76724	5.56101	8.31115	6.81697	10.9393	6.88047	8.74521	7.44264
ENSMUSG00000000263	Glra1	chr11:55514237-55608198	0.189462	0.055043	0.116594	0.155788	0.117843	0.0634836	0	0.0314154	0	0	0	0	0	0	0	0
ENSMUSG00000000266	Mid2	chrX:140664598-140767715	6.64096	6.73955	6.88424	8.32479	6.25265	8.69525	10.2086	11.0977	0.933525	0.81475	0.806755	0.697744	0.993587	0.986791	0.792651	1.1224
ENSMUSG00000000275	Trim25	chr11:88999375-89020293	4.3396	3.60977	4.16217	4.38246	4.60913	5.10209	4.35494	5.42359	4.31585	5.15565	2.58021	2.80325	2.98778	2.61448	3.27377	3.68945
ENSMUSG00000000276	Dgke	chr11:89035178-89066850	0.884142	1.18159	1.0561	1.87028	1.13869	2.2358	1.05546	2.26622	0.535827	0.958061	0.629467	1.55262	0.640989	1.91124	0.70623	1.9581
ENSMUSG00000000278	Scpep1	chr11:88924019-88955465	29.3465	23.2074	27.71	23.6031	30.2787	20.7547	21.5924	17.8764	36.9426	31.1981	47.2073	36.987	51.1506	41.9334	55.1537	45.5497
ENSMUSG00000000282	Mnt	chr11:74830919-74845725	13.4445	13.0711	13.8769	13.121	15.9533	12.3769	17.1699	13.7636	9.4863	9.10989	13.386	10.9656	12.8412	10.5219	12.085	12.2047
ENSMUSG00000000290	Itgb2	chr10:77530251-77565686	0.114636	0.116566	0	0.0188521	0.0950689	0	0.0124759	0	0.135598	0.135265	0.26506	0.346301	0.652374	0.494162	0.369819	0.508746
ENSMUSG00000000295	Hddc2	chr10:31313382-31328204	25.5946	24.8439	21.978	22.7748	26.2856	21.2077	27.3798	25.5961	33.2625	25.2216	28.6723	22.3528	28.589	25.8713	33.3584	28.3547
ENSMUSG00000000296	Tpd52l1	chr10:31332375-31445958	7.04156	4.47683	8.3408	7.60309	7.42255	9.61804	4.61411	3.64444	2.85708	1.85272	7.30379	6.28736	7.1056	7.84198	6.82334	5.25542
ENSMUSG00000000301	Pemt	chr11:59970613-60046489	5.15542	3.5626	1.87386	2.83412	2.88853	1.98235	2.06627	2.28682	4.53059	3.05226	3.42425	2.94019	3.26351	2.22895	2.71729	2.20997
ENSMUSG00000000303	Cdh1	chr8:106603350-106670246	86.998	67.789	122.704	101.554	61.3073	92.5024	80.4327	75.2005	0.327019	0.328685	1.52342	0.423371	1.28057	0.883467	0.239636	0.0523025
ENSMUSG00000000305	Cdh4	chr2:179442430-179899373	0.226517	0.301946	0.786611	0.438253	0.602236	0.464333	0.174014	0.229816	0.306157	0.220079	1.36879	1.04181	1.86233	1.02428	2.0168	1.75914
ENSMUSG00000000308	Ckmt1	chr2:121357713-121363737	0.112128	0.156525	0.184022	0.295065	0.598664	0.413332	0.70909	0.202267	0.0425581	0	0.0462523	0	0.167586	0.0719477	0.0482158	0.0764033
ENSMUSG00000000317	Bcl6b	chr11:70224127-70229739	0.227585	0.132239	0.103745	0.266148	0.157283	0.0847317	0.220163	0.0503174	3.25367	3.58254	2.62584	2.80395	3.53537	3.32469	4.4315	3.73653
ENSMUSG00000000318	Clec10a	chr11:70156196-70170834	0	0.0728381	0	0	0	0	0	0	0	0	0.167925	0.29125	0.0570705	0.132884	0.555154	0.343477
ENSMUSG00000000320	Alox12	chr11:70241456-70255353	2.38779	1.35667	2.70193	2.72561	1.7682	2.22767	3.68667	2.6813	0.570481	0.317885	0.682558	0.761893	1.95078	0.73222	0.500039	1.11258
ENSMUSG00000000325	Arvcf	chr16:18348181-18407076	21.8668	22.9111	19.9532	20.3093	24.4103	27.0577	24.9558	27.1295	14.9655	12.3963	16.5347	17.3313	24.0967	19.0333	18.059	23.3614
ENSMUSG00000000326	Comt	chr16:18406885-18426852	16.5272	13.2823	17.4467	16.9821	20.895	17.7293	22.5049	17.5739	11.9941	8.5712	13.98	15.0611	19.5046	13.0599	15.8231	15.3302
ENSMUSG00000000339	Rtca	chr3:116488962-116508208	24.7236	26.0938	20.9452	20.2883	21.732	20.1278	17.8574	18.1167	36.7859	32.5068	29.1912	31.5733	23.0802	27.788	25.4979	23.3022
ENSMUSG00000000340	Dbt	chr3:116513069-116549981	8.45055	8.93094	5.8121	7.55377	6.45364	6.92349	5.6333	6.69733	9.3208	9.82891	7.76711	8.10132	6.66916	6.41752	4.98946	6.86068
ENSMUSG00000000346	Dazap2	chr15:100615348-100620761	73.7548	65.6959	66.7988	63.2813	78.5072	75.5297	89.9175	74.3317	52.7228	52.0669	51.0288	52.1411	66.1943	59.8615	60.6864	63.4051
ENSMUSG00000000355	Mcts1	chrX:38600654-38613426	10.2184	16.1068	12.22	16.0178	15.1455	17.7025	15.5691	22.0633	16.6979	19.6861	14.1474	21.5577	12.3726	22.1016	13.7894	19.2342
ENSMUSG00000000359	Rem1	chr2:152626950-152635194	0.251082	0.148699	0	0	0.0424466	0.0343003	0.133686	0.166537	0.0435565	0.0301919	0.0169063	0	0.0233019	0.0367711	0.0220087	0.0348314
ENSMUSG00000000365	Rnf17	chr14:56402580-56525032	0.452755	0.601788	0.384763	0.585131	0.275609	0.52052	0.344914	0.289574	0.454526	0.779314	0.280408	0.442985	0.204529	0.290442	0.194456	0.169478
ENSMUSG00000000374	Trappc10	chr10:78186724-78244641	5.49795	8.94679	8.12299	10.1509	8.2449	10.5335	8.87608	11.902	5.03037	7.97854	6.20017	9.54201	7.8623	10.2139	8.19466	11.6951
ENSMUSG00000000378	Ccm2	chr11:6546886-6596744	26.2108	23.8491	22.1846	22.6362	17.8133	18.5957	15.498	15.5177	26.761	24.5958	26.2976	27.7862	24.8532	22.2991	22.058	18.7154
ENSMUSG00000000381	Wap	chr11:6635481-6638637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	Tbrg4	chr11:6615598-6626067	25.1064	26.8373	23.3004	22.2505	23.4332	23.7046	19.486	20.7847	35.4532	40.127	29.8145	28.1017	23.3159	25.48	15.5554	18.4859
ENSMUSG00000000385	Tmprss2	chr16:97564681-97611195	0.565472	0.563259	1.2373	2.03699	0.904411	2.21958	1.85209	2.28611	0	0.333572	0	0	0.0245182	0.0193453	0	0
ENSMUSG00000000386	Mx1	chr16:97447036-97462906	0.0315824	0	0	0	0	0	0	0.0209479	0	0	0	0.065406	0	0	0.0395679	0
ENSMUSG00000000392	Fap	chr2:62500942-62574075	0.309404	0.494283	0.571199	1.16201	2.4852	2.97729	2.38403	4.22178	0.654041	0.675296	0.114396	0.132148	0.0885868	0	0.780273	0.131145
ENSMUSG00000000394	Gcg	chr2:62474529-62483650	0.625861	0.0909358	0.770332	2.26433	7.23407	4.82336	5.25909	4.35875	0	0	0.0429893	0	0.178085	0.0935014	0.20919	0.745357
ENSMUSG00000000399	Ndufa9	chr6:126821720-126849125	57.6086	54.7151	49.3132	45.7682	57.3069	48.1781	62.0028	50.6575	77.7814	63.8609	67.8216	59.3312	63.4976	61.0747	64.516	52.3259
ENSMUSG00000000402	Egfl6	chrX:166523006-166585720	1.98312	1.70101	6.17308	5.77715	2.51916	3.71275	2.43917	2.29666	0.107152	0.0185684	0.343122	0.223745	0.386937	0.271377	0.419605	0.514124
ENSMUSG00000000409	Lck	chr4:129548343-129573641	7.09991	7.27312	4.81545	4.18444	6.04121	3.79542	5.48476	4.05591	4.63133	3.70394	7.32026	7.11771	8.83762	8.34404	6.10594	6.78672
ENSMUSG00000000411	Tssk3	chr4:129489013-129491022	0	0.0386385	0	0.131228	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000416	Cttnbp2	chr6:18366564-18514821	0.945833	1.18991	1.08467	1.3491	0.943891	0.955157	0.627953	0.95282	0.671934	1.50849	1.18686	1.94768	1.02349	1.84916	1.33412	2.35595
ENSMUSG00000000420	Galnt1	chr18:24205343-24286818	29.2797	29.9003	30.2073	27.5628	27.9177	28.5452	21.6935	24.3008	28.1293	34.6988	26.3489	33.1015	26.8983	35.7463	19.7961	30.1209
ENSMUSG00000000435	Myf5	chr10:107482907-107486134	0	0.0237433	0	0.0268798	0	0	0	0	0.139096	0	0.0134975	0.029045	0	0	0	0
ENSMUSG00000000439	Mkrn2	chr6:115601901-115622624	3.78449	3.8502	3.66582	3.63086	4.28291	4.1751	4.52016	4.52193	5.15645	4.69048	4.8017	4.39916	5.05691	5.06478	5.93361	5.06725
ENSMUSG00000000440	Pparg	chr6:115360950-115490399	0.0963306	0.144391	0.401607	0.095055	0.119841	0.523425	0.0661259	0.106278	0.143471	0.101024	0.0477308	0.272822	0.152283	0.150804	0.0861814	0.542163
ENSMUSG00000000441	Raf1	chr6:115618568-115676635	44.8661	45.012	46.3806	42.8909	45.6648	43.6149	42.6399	40.7872	44.9016	47.2159	44.4711	50.7649	55.5512	55.8607	46.3601	54.3861
ENSMUSG00000000486	Sept1	chr7:127214461-127232646	1.14969	1.47612	2.07056	2.75935	1.78333	2.12823	1.2669	2.34119	1.34273	1.75888	2.66805	3.3002	2.32348	2.65223	2.83102	3.43625
ENSMUSG00000000489	Pdgfb	chr15:79995873-80014808	0.260208	0.235191	0.300279	0.510254	0.503521	0.54253	0.654476	0.517771	2.57187	2.53081	2.4448	2.20088	2.21601	1.64097	2.89457	2.24303
ENSMUSG00000000530	Acvrl1	chr15:101128521-101145336	0.45778	0.435146	0.494744	0.633214	0.789675	0.714367	1.29669	0.938451	6.26661	5.1102	4.6602	3.70386	5.90648	4.18794	4.81358	4.61397
ENSMUSG00000000531	Grasp	chr15:101224187-101232756	1.08856	1.28934	2.88571	2.61639	5.95473	3.61945	7.38152	4.63757	4.32897	3.48228	6.81791	6.39825	7.37661	7.36933	10.0458	8.7756
ENSMUSG00000000532	Acvr1b	chr15:101174066-101213684	16.7806	18.4485	26.5105	31.1383	21.298	32.2649	30.26	34.1957	5.21371	7.51204	7.7511	10.7088	5.69249	10.3947	5.39313	9.80707
ENSMUSG00000000538	Tom1l2	chr11:60226713-60352905	7.12241	5.18363	6.14015	5.64841	6.24807	5.93375	6.94076	6.33828	3.41815	4.25465	4.70771	4.56912	7.06291	5.58218	7.3335	8.09834
ENSMUSG00000000544	Gpa33	chr1:166130237-166166510	0.101531	0.101341	0.166633	0.100565	0.795603	0.486563	5.41963	1.7373	0.081313	0.0450898	0.06708	0	0.0696011	0.0823743	0.0837905	0.0260085
ENSMUSG00000000552	Zfp385a	chr15:103313894-103340093	84.2739	63.0937	85.6306	56.959	55.0604	49.4316	56.6326	40.8429	30.3964	24.3021	30.5566	20.1377	30.4358	19.7197	29.3358	21.0419
ENSMUSG00000000555	Itga5	chr15:103344285-103366763	11.5574	8.89373	8.27191	7.78145	10.3177	7.43282	8.15142	6.59643	24.2743	22.0682	25.4782	22.2839	25.0971	21.8813	32.8084	23.08
ENSMUSG00000000560	Gabra2	chr5:70957596-71095849	0	0.025354	0	0	0.0361869	0	0.00633176	0.00964733	0.0247555	0	0.0192175	0.0413538	0.00662184	0.0104495	0.125087	0.0593896
ENSMUSG00000000561	Wdr77	chr3:105959368-105969760	67.9244	62.6891	51.7122	51.2141	44.537	48.3072	52.662	46.9089	85.4723	82.0078	53.8617	55.662	39.7585	48.8251	33.6361	36.0437
ENSMUSG00000000562	Adora3	chr3:105870857-105908926	0	0	0	0	0	0	0	0	0	0	0	0.0496311	0.0817534	0	0	0.0488816
ENSMUSG00000000563	Atp5f1	chr3:105942697-105960099	110.642	99.0071	87.6338	87.3023	104.996	92.639	117.513	99.3263	144.015	112.595	110.794	110.44	117.123	107.852	119.225	103.539
ENSMUSG00000000567	Sox9	chr11:112782223-112787760	13.2976	11.853	6.11426	5.01005	3.10693	5.58688	4.77617	5.06535	6.10482	5.93766	4.0796	2.69217	25.7715	11.8752	76.582	57.8966
ENSMUSG00000000568	Hnrnpd	chr5:99955934-99978938	287.786	347.378	268.838	307.047	306.803	293.52	247.255	298.148	315.119	449.945	381.19	418.499	351.631	422.463	309.489	413.365
ENSMUSG00000000579	Dynlt1c	chr17:6601670-6609679	0	0.0191028	0	0.0432528	0.0136324	0	0	0.0436123	0.0279778	0	0	0.0233683	0.0149676	0.0472386	0.0706844	0
ENSMUSG00000000581	C1d	chr11:17257593-17269176	20.9002	17.6257	14.8537	13.4717	20.8016	18.4292	22.9453	18.5288	26.7718	22.8265	13.3079	15.1575	18.7018	17.4189	19.3427	16.9036
ENSMUSG00000000594	Gm2a	chr11:55098114-55113029	1.97994	1.65377	2.77537	3.50027	3.78856	3.74563	3.86067	3.65248	0.640625	0.6083	0.987814	1.04084	2.43191	1.14092	3.93762	2.69482
ENSMUSG00000000600	Krit1	chr5:3803183-3845564	8.9846	13.847	8.11037	12.7538	8.34494	13.2067	6.63872	13.9654	7.11417	12.6957	7.7898	13.363	9.11938	12.2011	6.4116	14.4753
ENSMUSG00000000605	Clcn4	chr7:7282308-7299533	6.311	5.76997	8.55773	10.248	11.4096	11.5481	12.3751	11.4792	5.1271	5.72417	6.71823	7.76122	8.16288	9.68559	8.73762	10.6962
ENSMUSG00000000606	Vmn2r88	chr14:51410818-51419527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617	Grm6	chr11:50850684-50866206	0	0	0	0	0.00820907	0	0	0	0.0337479	0.023402	0.00653989	0	0.0180474	0	0.0170591	0
ENSMUSG00000000627	Sema4f	chr6:82911884-82939769	0.437459	0.278394	0.410227	0.342576	2.74684	1.13078	4.98761	3.89639	0.177275	0.159745	0.529827	0.414591	0.976837	0.643531	1.19135	1.04905
ENSMUSG00000000628	Hk2	chr6:82725024-82774454	29.3044	30.5643	23.7787	28.1121	19.2713	24.9149	21.4538	20.0817	25.8313	34.2712	17.6584	18.3049	9.35653	13.3216	11.4987	11.0533
ENSMUSG00000000631	Myo18a	chr11:77763245-77865980	5.52598	4.32879	9.98222	8.85306	13.0345	10.5404	16.3397	12.836	9.08898	10.8749	22.0176	18.4396	21.4901	15.7095	19.2382	20.4522
ENSMUSG00000000632	Sez6	chr11:77930799-77979048	0	0.0124738	0	0	0.0446272	0.0143867	0	0	0.018271	0.0126634	0.00709118	0.0457842	0.185737	0.138835	0.0738636	0.120242
ENSMUSG00000000673	Haao	chr17:83831355-83846790	3.41304	2.14504	4.80086	3.29896	4.65007	3.87433	9.2482	3.60358	0	0.0410876	0.0460151	0	0.0634223	0.0500412	0	0
ENSMUSG00000000682	Cd52	chr4:134093535-134095082	0	0.192441	0	0.217863	0.274664	0	0	0	0	0	0.164097	0.235411	0.603129	0.356909	1.42414	0.676163
ENSMUSG00000000686	Abhd15	chr11:77515120-77538607	1.21504	0.798896	2.3875	1.11477	0.145844	0.364276	0.111355	0.0636245	0.0597459	0.13203	0.232357	0.204548	0.160128	0.0689148	0.206238	0.239358
ENSMUSG00000000690	Hoxb6	chr11:96292475-96301569	4.77372	3.58135	0.105739	0.296694	0.0534354	0.129541	0	0	22.8737	25.1512	0.297966	0.183196	0.0293342	0.0462903	0.0277062	0.0876977
ENSMUSG00000000693	Loxl3	chr6:83034172-83052562	2.4509	1.6172	2.06217	2.73259	2.49765	2.42196	1.05789	1.76339	1.06053	0.575848	2.37381	2.12594	3.43256	2.86503	5.00152	4.16978
ENSMUSG00000000701	Tcl1b5	chr12:105176343-105181145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706	Btn1a1	chr13:23456991-23465901	0	0.0144485	0	0.081786	0.0103109	0.0166642	0	0.0329864	0.0634844	0	0.0281145	0.0176747	0.0113208	0	0.0106925	0.084611
ENSMUSG00000000708	Kat2b	chr17:53566970-53672720	0.439033	1.12281	0.345236	1.35358	0.926603	1.77282	0.828629	1.44854	0.25686	0.47575	0.135147	0.537823	0.511178	1.35047	0.917174	2.67124
ENSMUSG00000000711	Rab5b	chr10:128677174-128696264	13.8382	13.4063	14.7369	14.8604	15.7715	17.0407	18.6665	18.872	9.8971	10.4365	12.4574	13.6792	14.5012	14.23	15.2041	16.8127
ENSMUSG00000000724	Cryba1	chr11:77718626-77725283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000730	Dnmt3l	chr10:78042286-78063622	0	0.0444333	0	0	0	0	0	0	0.113266	0.135332	0.109911	0.163071	0.139265	0	0.0218404	0
ENSMUSG00000000731	Aire	chr10:78030021-78043580	0.05265	0.0513753	0	0.130819	0	0.0705849	0.0229191	0.139788	0	0.031045	0	0.0314115	0	0	0	0
ENSMUSG00000000732	Icosl	chr10:78069301-78083913	1.14941	1.3101	0.57084	1.2039	0.664748	1.0338	0.434529	0.902818	0.476204	0.517435	0.603779	1.13081	0.86756	1.10203	0.767386	1.17331
ENSMUSG00000000738	Spg7	chr8:123062941-123097760	17.7642	22.1971	15.6427	19.91	18.8832	19.8257	13.5702	21.6167	17.7956	23.0281	16.4379	19.5905	24.9146	23.189	19.3895	24.7073
ENSMUSG00000000739	Sult5a1	chr8:123140191-123158270	2.1615	0.420834	0.637849	2.14087	6.79704	4.37266	24.2901	12.1336	0.488405	0.62113	0.25717	0.624042	0.653806	0.611043	1.81736	1.2192
ENSMUSG00000000740	Rpl13	chr8:123102349-123105244	621.79	452.597	717.304	469.819	774.801	566.977	990.609	601.475	767.481	459.67	699.601	400.933	676.603	389.403	789.865	439.336
ENSMUSG00000000743	Chmp1a	chr8:123204263-123212760	43.0358	33.6725	38.1841	30.3501	48.505	38.8361	50.2472	34.929	35.8618	26.3246	30.3618	26.4054	40.6705	33.1755	40.7051	31.8856
ENSMUSG00000000751	Rpa1	chr11:75298165-75348324	65.7696	59.3164	55.562	45.0812	59.3004	43.9341	50.3996	43.5847	81.8634	68.2487	81.3649	69.5561	81.851	75.2279	73.0028	67.6834
ENSMUSG00000000753	Serpinf1	chr11:75409768-75422701	26.9124	16.8543	9.14773	9.7009	27.2491	7.48545	5.69487	6.0521	66.6399	53.5691	64.1379	44.7341	61.6806	47.3905	60.7855	54.0176
ENSMUSG00000000759	Tubgcp3	chr8:12614276-12672248	10.4911	14.901	10.7236	15.8077	12.2233	15.864	12.8911	15.9243	10.5876	15.3391	12.3435	16.4915	14.0941	17.7315	8.34763	15.2706
ENSMUSG00000000766	Oprm1	chr10:6758505-7038198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000776	Polr3d	chr14:70438756-70443447	17.1416	19.0349	16.5852	16.9416	17.1999	18.9572	13.4537	15.2248	21.6229	24.6911	22.2112	25.0819	17.0497	22.0214	13.9974	15.4868
ENSMUSG00000000782	Tcf7	chr11:52252370-52283014	129.757	130.157	150.003	129.459	54.3571	86.3768	23.9083	31.9115	56.6537	79.1992	39.4778	35.6234	24.3421	28.4015	16.1587	20.2845
