gene_id	gene_short_name	locus	ECT095_R1	ECT095_R2	ECT105_R1	ECT105_R2	ECT115_R1	ECT115_R2	ECT125_R1	ECT125_R2	MES095_R1	MES095_R2	MES105_R1	MES105_R2	MES115_R1	MES115_R2	MES125_R1	MES125_R2
ENSMUSG00000000120	Ngfr	chr11:95568817-95587735	1548	2497	552	386	2476	279	359	134	1579	1082	450	411	3262	1326	4347	1973
ENSMUSG00000000125	Wnt3	chr11:103774149-103817957	597	1012	1183	1354	1304	1369	2870	1592	6	3	43	12	29	19	2	7
ENSMUSG00000000126	Wnt9a	chr11:59306927-59333552	14	48	25	36	40	36	49	32	5	3	5	3	15	8	31	18
ENSMUSG00000000127	Fer	chr17:63896017-64139494	234	448	282	392	494	379	551	364	557	391	700	357	531	362	514	418
ENSMUSG00000000131	Xpo6	chr7:126101714-126200501	1571	3079	2052	2483	4207	2383	4302	2433	4494	4285	5789	2834	4308	2767	3648	2775
ENSMUSG00000000134	Tfe3	chrX:7762657-7775202	579	921	556	615	1242	632	1083	535	998	744	1793	689	1386	693	1362	740
ENSMUSG00000000142	Axin2	chr11:108920348-108950783	924	2459	2463	3170	1882	2070	2262	1767	1682	2446	3219	1743	1592	1961	3694	2590
ENSMUSG00000000148	Brat1	chr5:140705010-140719379	223	446	411	429	526	392	767	434	507	389	878	350	462	354	702	420
ENSMUSG00000000149	Gna12	chr5:140758407-140830431	1391	2209	2388	2389	5368	3021	5732	2945	2705	1905	4426	2021	3658	2025	3576	2152
ENSMUSG00000000154	Slc22a18	chr7:143473735-143499334	24	21	11	11	29	15	25	26	2	2	8	3	6	3	21	12
ENSMUSG00000000157	Itgb2l	chr16:96422287-96443619	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0
ENSMUSG00000000159	Igsf5	chr16:96361667-96525580	0	2	0	0	0	0	0	0	16	9	0	0	0	0	0	0
ENSMUSG00000000167	Pih1d2	chr9:50617320-50624997	34	49	27	39	61	51	43	46	53	42	55	35	52	34	33	28
ENSMUSG00000000168	Dlat	chr9:50634632-50659780	732	1198	768	911	1727	944	1642	1057	2000	1361	2352	1018	1532	970	1277	944
ENSMUSG00000000171	Sdhd	chr9:50596356-50603812	1408	2041	1282	1303	2739	1306	2670	1214	4627	2194	4442	1678	3359	1844	3257	1872
ENSMUSG00000000182	Fgf23	chr6:127072901-127081408	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0
ENSMUSG00000000183	Fgf6	chr6:127015585-127028187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	Ccnd2	chr6:127125161-127152193	6392	13294	11887	14649	17360	14023	20056	13507	8587	9326	16606	9412	19506	11436	24321	18543
ENSMUSG00000000194	Gpr107	chr2:31152315-31218775	937	1573	1658	1990	2751	2039	2613	1675	1430	1093	2232	1012	1530	989	1794	1143
ENSMUSG00000000197	Nalcn	chr14:123276633-123627144	1	1	1	2	0	3	12	11	0	0	0	0	0	0	0	1
ENSMUSG00000000202	Btbd17	chr11:114791216-114795897	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
ENSMUSG00000000204	Slfn4	chr11:83175185-83190216	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000214	Th	chr7:142892751-142931128	31	81	48	48	6	16	10	8	0	1	0	0	0	0	0	1
ENSMUSG00000000215	Ins2	chr7:142678655-142743381	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216	Scnn1g	chr7:121734478-121768475	2	10	4	9	1	6	19	7	0	0	0	0	1	0	0	0
ENSMUSG00000000223	Drp2	chrX:134404550-134456573	5	12	17	38	44	16	34	23	45	41	218	147	141	104	273	193
ENSMUSG00000000244	Tspan32	chr7:143005045-143019644	0	9	0	1	2	0	0	0	44	15	51	35	27	22	14	14
ENSMUSG00000000247	Lhx2	chr2:38339280-38369733	165	144	202	336	3344	94	274	130	3849	2737	8083	3474	7375	3664	7721	5164
ENSMUSG00000000248	Clec2g	chr6:128934380-128984707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000253	Gmpr	chr13:45507443-45546382	55	70	55	56	211	86	205	84	352	176	442	182	430	160	375	200
ENSMUSG00000000263	Glra1	chr11:55514237-55608198	4	2	4	5	7	2	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000000266	Mid2	chrX:140664598-140767715	363	809	531	879	849	815	1385	1108	124	99	100	65	143	74	121	109
ENSMUSG00000000275	Trim25	chr11:88999375-89020293	292	409	335	427	740	505	663	545	631	581	483	261	435	241	505	337
ENSMUSG00000000276	Dgke	chr11:89035178-89066850	67	157	105	222	229	260	182	262	83	132	148	177	124	204	131	229
ENSMUSG00000000278	Scpep1	chr11:88924019-88955465	793	1038	916	929	1956	799	1340	697	2395	1392	3873	1346	3036	1526	3467	1730
ENSMUSG00000000282	Mnt	chr11:74830919-74845725	730	1061	922	1036	2054	987	1978	1133	1144	802	2127	773	1541	743	1529	932
ENSMUSG00000000290	Itgb2	chr10:77530251-77565686	4	8	0	1	8	0	1	0	8	8	30	17	51	24	30	20
ENSMUSG00000000295	Hddc2	chr10:31313382-31328204	270	441	279	364	674	332	646	404	811	442	916	320	653	365	795	434
ENSMUSG00000000296	Tpd52l1	chr10:31332375-31445958	93	108	136	157	247	201	147	72	89	43	298	120	218	140	218	102
ENSMUSG00000000301	Pemt	chr11:59970613-60046489	51	64	25	43	63	30	54	29	130	52	119	42	85	37	74	31
ENSMUSG00000000303	Cdh1	chr8:106603350-106670246	4464	6147	7927	8122	7783	7287	9549	5976	41	30	244	32	147	64	29	5
ENSMUSG00000000305	Cdh4	chr2:179442430-179899373	18	40	56	52	111	52	32	26	55	30	322	111	312	108	358	199
ENSMUSG00000000308	Ckmt1	chr2:121357713-121363737	2	5	5	8	23	11	33	4	3	0	2	0	6	1	2	3
ENSMUSG00000000317	Bcl6b	chr11:70224127-70229739	12	9	5	17	16	6	20	3	296	222	288	160	293	187	384	217
ENSMUSG00000000318	Clec10a	chr11:70156196-70170834	0	1	0	0	0	0	0	0	0	0	3	7	1	4	15	3
ENSMUSG00000000320	Alox12	chr11:70241456-70255353	76	73	120	141	141	108	282	130	47	19	74	35	166	35	45	60
ENSMUSG00000000325	Arvcf	chr16:18348181-18407076	901	1501	1042	1195	2401	1531	2216	1590	1400	825	2169	999	2128	1083	1739	1388
ENSMUSG00000000326	Comt	chr16:18406885-18426852	332	496	462	584	1055	566	1014	554	623	297	881	467	878	391	749	482
ENSMUSG00000000339	Rtca	chr3:116488962-116508208	495	873	526	594	1063	578	838	523	1775	1077	1810	849	1010	755	1179	656
ENSMUSG00000000340	Dbt	chr3:116513069-116549981	320	530	250	394	581	361	459	386	827	637	789	404	507	326	457	383
ENSMUSG00000000346	Dazap2	chr15:100615348-100620761	1866	2873	2081	2433	4823	2860	5256	2840	3154	2235	3960	1861	3717	2106	3596	2370
ENSMUSG00000000355	Mcts1	chrX:38600654-38613426	105	294	156	275	356	275	364	351	403	347	435	311	285	306	347	293
ENSMUSG00000000359	Rem1	chr2:152626950-152635194	1	5	1	0	2	1	6	1	2	1	1	0	1	2	1	1
ENSMUSG00000000365	Rnf17	chr14:56402580-56525032	33	67	31	61	37	47	49	29	59	70	46	38	18	27	25	15
ENSMUSG00000000374	Trappc10	chr10:78186724-78244641	352	957	624	965	1256	971	1308	1105	733	845	1201	841	1079	875	1199	1066
ENSMUSG00000000378	Ccm2	chr11:6546886-6596744	510	776	544	661	871	532	692	421	1203	808	1555	769	1015	580	875	540
ENSMUSG00000000381	Wap	chr11:6635481-6638637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	Tbrg4	chr11:6615598-6626067	758	1360	830	1054	1686	1055	1387	993	2464	2031	2674	1176	1512	1082	1081	851
ENSMUSG00000000385	Tmprss2	chr16:97564681-97611195	21	41	62	123	91	127	166	134	0	21	0	0	2	1	0	0
ENSMUSG00000000386	Mx1	chr16:97447036-97462906	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0
ENSMUSG00000000392	Fap	chr2:62500942-62574075	10	25	25	61	223	152	227	226	57	38	3	2	5	0	52	4
ENSMUSG00000000394	Gcg	chr2:62474529-62483650	8	2	13	46	239	97	159	90	0	0	1	0	5	1	5	14
ENSMUSG00000000399	Ndufa9	chr6:126821720-126849125	1071	1568	1116	1146	2547	1196	2587	1289	3347	1780	3710	1402	2517	1412	2717	1309
ENSMUSG00000000402	Egfl6	chrX:166523006-166585720	66	96	252	283	206	183	188	113	8	1	36	10	30	12	33	25
ENSMUSG00000000409	Lck	chr4:129548343-129573641	197	325	151	172	399	153	325	158	289	163	571	260	503	300	390	261
ENSMUSG00000000411	Tssk3	chr4:129489013-129491022	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000416	Cttnbp2	chr6:18366564-18514821	36	111	42	117	74	77	61	65	102	131	212	169	141	146	188	150
ENSMUSG00000000420	Galnt1	chr18:24205343-24286818	1336	2316	1658	1882	3066	1930	2255	1662	2973	2647	3647	2115	2665	2238	2095	2006
ENSMUSG00000000435	Myf5	chr10:107482907-107486134	0	1	0	1	0	0	0	0	8	0	1	1	0	0	0	0
ENSMUSG00000000439	Mkrn2	chr6:115601901-115622624	279	496	332	408	775	461	767	504	911	588	1083	460	827	523	1019	552
ENSMUSG00000000440	Pparg	chr6:115360950-115490399	2	6	9	3	8	10	2	4	7	1	3	4	5	3	5	16
ENSMUSG00000000441	Raf1	chr6:115618568-115676635	1541	2901	1839	2392	4172	2474	3471	2359	3914	2939	5001	2676	4178	2796	4021	2830
ENSMUSG00000000486	Sept1	chr7:127214461-127232646	23	56	51	81	81	70	55	73	57	48	145	75	117	74	124	89
ENSMUSG00000000489	Pdgfb	chr15:79995873-80014808	12	15	8	24	42	29	56	28	217	148	264	101	177	82	230	116
ENSMUSG00000000530	Acvrl1	chr15:101128521-101145336	18	26	19	37	67	31	111	51	513	293	488	192	466	211	392	239
ENSMUSG00000000531	Grasp	chr15:101224187-101232756	26	54	90	101	358	136	419	173	244	147	511	220	393	248	571	316
ENSMUSG00000000532	Acvr1b	chr15:101174066-101213684	880	1663	1695	2492	2704	2532	3642	2693	643	663	1233	789	656	754	659	758
ENSMUSG00000000538	Tom1l2	chr11:60226713-60352905	300	528	437	482	903	510	909	563	476	422	858	374	932	457	997	695
ENSMUSG00000000544	Gpa33	chr1:166130237-166166510	3	3	6	4	55	13	367	75	5	2	6	0	4	3	2	1
ENSMUSG00000000552	Zfp385a	chr15:103313894-103340093	2372	3020	2945	2425	3776	2062	3687	1719	1970	1116	2549	774	1834	741	1868	834
ENSMUSG00000000555	Itga5	chr15:103344285-103366763	650	829	570	640	1406	602	1038	537	3205	2002	4267	1700	3063	1649	4227	1867
ENSMUSG00000000560	Gabra2	chr5:70957596-71095849	0	3	0	0	6	0	1	1	4	0	4	4	1	1	20	6
ENSMUSG00000000561	Wdr77	chr3:105959368-105969760	1810	3445	1829	2489	3176	2288	3578	2323	5574	4364	4902	2506	2599	2176	2319	1696
ENSMUSG00000000562	Adora3	chr3:105870857-105908926	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	2
ENSMUSG00000000563	Atp5f1	chr3:105942697-105960099	2273	3358	2224	2586	5249	2691	5569	2934	7012	3761	6822	3036	5281	2941	5668	2958
ENSMUSG00000000567	Sox9	chr11:112782223-112787760	647	995	365	372	371	405	536	376	699	494	602	185	2769	805	8673	4145
ENSMUSG00000000568	Hnrnpd	chr5:99955934-99978938	4857	9864	5574	7924	12671	7488	10320	7827	12611	12257	18327	9594	13107	9852	12171	9827
ENSMUSG00000000579	Dynlt1c	chr17:6601670-6609679	0	4	0	3	1	5	0	5	2	1	0	2	2	6	5	2
ENSMUSG00000000581	C1d	chr11:17257593-17269176	440	629	412	491	994	566	1059	613	1494	818	793	436	844	506	977	565
ENSMUSG00000000594	Gm2a	chr11:55098114-55113029	98	140	166	259	452	273	433	269	73	51	148	73	269	77	452	193
ENSMUSG00000000600	Krit1	chr5:3803183-3845564	307	832	314	721	693	689	546	746	569	753	837	681	677	589	528	710
ENSMUSG00000000605	Clcn4	chr7:7282308-7299533	278	552	539	825	1345	906	1398	945	594	523	979	605	879	692	968	817
ENSMUSG00000000606	Vmn2r88	chr14:51410818-51419527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617	Grm6	chr11:50850684-50866206	0	0	0	0	1	0	0	0	4	2	1	0	2	0	2	0
ENSMUSG00000000627	Sema4f	chr6:82911884-82939769	21	23	25	26	335	83	569	286	23	13	79	28	111	44	142	75
ENSMUSG00000000628	Hk2	chr6:82725024-82774454	1991	3500	1994	2839	3138	2452	3334	2006	4113	3849	3483	1727	1399	1233	1809	1071
ENSMUSG00000000631	Myo18a	chr11:77763245-77865980	458	644	997	1115	2747	1281	3199	1637	1782	1530	5796	2197	3994	1867	3809	2478
ENSMUSG00000000632	Sez6	chr11:77930799-77979048	0	1	0	0	2	2	0	0	2	1	1	3	20	10	8	9
ENSMUSG00000000673	Haao	chr17:83831355-83846790	57	60	95	89	209	96	364	90	0	1	2	0	3	1	1	0
ENSMUSG00000000682	Cd52	chr4:134093535-134095082	0	2	0	2	4	0	0	0	0	0	3	2	8	3	20	6
ENSMUSG00000000686	Abhd15	chr11:77515120-77538607	40	45	94	59	11	17	8	3	3	8	24	11	11	4	15	12
ENSMUSG00000000690	Hoxb6	chr11:96292475-96301569	77	104	2	8	2	3	0	0	886	714	14	4	5	1	1	2
ENSMUSG00000000693	Loxl3	chr6:83034172-83052562	122	144	124	207	309	180	118	135	121	48	361	151	375	195	575	312
ENSMUSG00000000701	Tcl1b5	chr12:105176343-105181145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706	Btn1a1	chr13:23456991-23465901	0	1	0	5	1	1	0	2	6	0	3	1	1	0	1	5
ENSMUSG00000000708	Kat2b	chr17:53566970-53672720	25	76	24	92	65	98	76	121	33	40	18	41	55	81	117	159
ENSMUSG00000000711	Rab5b	chr10:128677174-128696264	536	881	709	858	1490	975	1664	1096	904	676	1471	750	1236	760	1375	952
ENSMUSG00000000724	Cryba1	chr11:77718626-77725283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000730	Dnmt3l	chr10:78042286-78063622	0	1	0	0	0	0	0	0	4	3	5	3	4	0	1	0
ENSMUSG00000000731	Aire	chr10:78030021-78043580	3	5	0	4	0	2	1	4	1	1	0	1	0	1	0	0
ENSMUSG00000000732	Icosl	chr10:78069301-78083913	38	74	26	62	56	55	36	45	40	29	59	54	63	47	59	60
ENSMUSG00000000738	Spg7	chr8:123062941-123097760	488	897	528	831	1182	820	864	755	1055	909	1266	730	1315	802	1169	901
ENSMUSG00000000739	Sult5a1	chr8:123140191-123158270	21	12	30	70	297	125	895	339	19	25	15	16	31	14	77	27
ENSMUSG00000000740	Rpl13	chr8:123102349-123105244	6118	7465	8653	6885	18939	8170	22282	8657	17795	7485	21076	5321	14867	5126	17962	6175
ENSMUSG00000000743	Chmp1a	chr8:123204263-123212760	1127	1490	1221	1192	3071	1491	3001	1361	2184	1139	2424	954	2335	1178	2452	1204
ENSMUSG00000000751	Rpa1	chr11:75298165-75348324	2442	3677	2539	2488	5377	2393	4320	2399	7145	4202	9091	3568	6704	3825	6262	3626
ENSMUSG00000000753	Serpinf1	chr11:75409768-75422701	597	629	263	310	1380	229	248	160	3354	1933	4066	1360	2946	1371	2947	1686
ENSMUSG00000000759	Tubgcp3	chr8:12614276-12672248	513	1193	635	1123	1445	1121	1439	1128	1244	1226	1788	1094	1495	1144	951	1059
ENSMUSG00000000766	Oprm1	chr10:6758505-7038198	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000000776	Polr3d	chr14:70438756-70443447	428	808	504	651	1037	683	770	570	1309	1037	1713	880	941	763	824	566
ENSMUSG00000000782	Tcf7	chr11:52252370-52283014	3853	6621	5428	5864	3881	3792	1591	1412	4047	4004	3526	1490	1590	1174	1081	878
ENSMUSG00000000787	Ddx3x	chrX:13280969-13294052	7681	17764	7680	12948	17772	14834	16223	14214	15488	20136	21490	14526	15610	16399	12025	14448
ENSMUSG00000000791	Il12rb1	chr8:70808448-70821424	1	1	0	1	1	0	3	0	1	2	15	3	8	8	5	5
ENSMUSG00000000792	Slc5a5	chr8:70882888-70892757	1	2	0	3	1	3	1	2	1	1	3	4	2	1	3	0
ENSMUSG00000000794	Kcnn3	chr3:89520163-89667761	2	10	1	2	10	1	13	3	20	19	17	4	20	12	37	16
ENSMUSG00000000804	Usp32	chr11:84984441-85140038	284	801	430	812	636	841	853	904	341	565	570	472	524	563	641	684
ENSMUSG00000000805	Car4	chr11:84957787-84966044	36	90	0	1	0	0	0	0	55	75	1	0	0	0	0	0
ENSMUSG00000000811	Txnrd3	chr6:89643987-89675529	129	260	162	184	313	202	296	183	493	343	426	188	282	179	348	229
ENSMUSG00000000817	Fasl	chr1:161780688-161788495	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ENSMUSG00000000823	Zfp512b	chr2:181582102-181592803	361	1214	483	1585	1259	1472	1023	1472	419	892	711	799	921	845	778	1035
ENSMUSG00000000826	Dnajc5	chr2:181520484-181555133	1292	2550	1467	2095	3579	2223	3466	2165	3564	2976	4492	2439	3824	2462	3305	2567
ENSMUSG00000000827	Tpd52l2	chr2:181497164-181517966	801	1417	811	1176	2022	1178	1753	1010	2276	1519	2324	1279	2042	1206	1739	1190
ENSMUSG00000000838	Fmr1	chrX:68678540-68717963	962	3295	575	1571	1280	1350	847	1220	1293	1886	1531	1542	1262	1550	1480	1756
ENSMUSG00000000861	Bcl11a	chr11:24078055-24174123	52	91	569	873	2413	1134	2960	1673	184	81	2729	1674	3882	2328	4457	2752
ENSMUSG00000000869	Il4	chr11:53612459-53618669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000876	Pxmp4	chr2:154585757-154603708	145	208	201	210	487	243	443	316	264	150	404	157	492	200	444	307
ENSMUSG00000000881	Dlg3	chrX:100767721-100818408	974	1812	1126	1437	1870	1186	1800	1240	1375	1023	2427	1347	1809	1314	1597	1336
ENSMUSG00000000884	Gnb1l	chr16:18498712-18566679	107	143	179	158	353	222	373	207	217	110	274	139	266	154	237	130
ENSMUSG00000000889	Dbh	chr2:27165232-27183200	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
ENSMUSG00000000901	Mmp11	chr10:75923221-75936496	350	447	538	605	1652	828	2107	1230	215	122	407	157	806	263	1847	765
ENSMUSG00000000902	Smarcb1	chr10:75896768-75921617	2149	3009	2575	2327	4935	2270	4315	2285	5251	2979	7260	2526	5121	2519	5529	2658
ENSMUSG00000000903	Vpreb3	chr10:75943056-75949657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000915	Hip1r	chr5:123973627-124005558	541	685	635	842	1427	828	2024	1180	406	241	605	267	475	270	325	295
ENSMUSG00000000916	Nsun5	chr5:135369952-135376798	193	337	177	297	368	229	439	304	754	545	799	384	464	317	446	319
ENSMUSG00000000934	Top1mt	chr15:75657034-75678800	38	88	78	96	191	99	157	104	151	93	234	104	206	93	156	101
ENSMUSG00000000938	Hoxa10	chr6:52231196-52240854	27	26	222	445	1128	177	76	75	1104	750	5487	3536	2981	3021	3156	2350
ENSMUSG00000000942	Hoxa4	chr6:52189670-52191753	40	83	7	11	15	5	14	5	344	228	31	33	20	16	14	11
ENSMUSG00000000957	Mmp14	chr14:54431611-54445364	1869	2536	1841	1903	4314	2149	3392	2054	2134	1408	5031	1900	4984	2189	6838	3228
ENSMUSG00000000958	Slc7a7	chr14:54369441-54417780	24	25	16	30	56	11	15	15	79	41	130	49	85	61	168	81
ENSMUSG00000000959	Oxa1l	chr14:54360840-54369673	1022	1422	1171	1230	2796	1404	2814	1424	2113	1466	3296	1171	2390	1237	2757	1282
ENSMUSG00000000976	Heatr6	chr11:83753695-83783754	351	745	538	776	957	732	1059	803	915	834	1736	845	1067	751	1362	883
ENSMUSG00000000982	Ccl3	chr11:83647843-83649355	0	0	0	0	2	1	0	0	1	1	1	0	21	2	3	2
ENSMUSG00000000983	Wfdc18	chr11:83709014-83711348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001014	Icam4	chr9:21029372-21030595	1	8	4	0	6	3	14	3	17	12	37	16	22	13	1	6
ENSMUSG00000001016	Ilf2	chr3:90476146-90488379	3105	4909	3445	4136	7766	3875	6737	3761	9701	5597	12701	5474	8959	5414	9325	4993
ENSMUSG00000001017	Chtop	chr3:90498955-90509498	2136	3808	2473	3525	5505	3450	5395	3501	5181	3871	6326	3450	5013	3732	5498	3931
ENSMUSG00000001018	Snapin	chr3:90488033-90491033	320	481	289	496	697	538	625	458	361	268	393	250	397	276	368	314
ENSMUSG00000001020	S100a4	chr3:90603770-90606045	0	1	0	1	0	0	0	0	2	1	1	1	0	3	15	2
ENSMUSG00000001021	S100a3	chr3:90584658-90602702	93	132	83	54	16	22	12	7	0	0	0	1	1	0	0	0
ENSMUSG00000001023	S100a5	chr3:90608522-90611780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001025	S100a6	chr3:90612881-90614414	279	356	566	552	656	631	413	323	24	14	64	22	48	18	71	23
ENSMUSG00000001027	Scn4a	chr11:106318591-106349389	1	2	1	1	0	1	0	1	2	3	1	0	0	0	4	1
ENSMUSG00000001029	Icam2	chr11:106377655-106388075	1	1	0	2	0	1	4	1	338	158	235	98	282	132	272	122
ENSMUSG00000001034	Mapk7	chr11:61488811-61494296	687	1159	818	988	2255	1059	1682	893	2054	1614	3611	1593	2898	1539	2740	1613
ENSMUSG00000001036	Epn2	chr11:61517248-61579687	497	888	575	774	1204	790	1289	825	1112	828	1388	743	1166	795	1114	860
ENSMUSG00000001039	B9d1	chr11:61505143-61512931	262	287	273	271	578	303	558	264	475	162	788	277	579	264	476	233
ENSMUSG00000001052	Sec24b	chr3:129982758-130060907	1001	2176	1214	1855	2698	1792	2491	1975	2231	2475	4291	2133	2855	2174	2919	2221
ENSMUSG00000001053	N4bp3	chr11:51643062-51650842	428	557	406	311	473	382	384	161	621	339	1376	462	565	333	503	317
ENSMUSG00000001054	Rmnd5b	chr11:51623672-51635896	218	355	291	303	566	316	564	283	397	282	1021	446	687	382	824	435
ENSMUSG00000001056	Nhp2	chr11:51619734-51623714	1251	1577	1086	818	2466	866	2469	768	4788	2015	3248	1060	2064	935	1699	671
ENSMUSG00000001062	Vps9d1	chr8:123242355-123254348	163	299	225	441	517	443	459	367	291	267	490	351	489	310	477	416
ENSMUSG00000001065	Zfp276	chr8:123254194-123269745	116	269	118	364	309	365	317	381	262	329	348	361	295	292	282	383
ENSMUSG00000001076	C1ql4	chr15:99084085-99087817	26	53	9	15	0	0	1	2	0	1	1	0	1	0	0	1
ENSMUSG00000001082	Mfsd10	chr5:34633641-34637212	411	617	596	777	1018	727	1044	615	785	590	1218	637	960	629	1141	680
ENSMUSG00000001089	Luzp1	chr4:136469760-136554780	2326	5523	3021	4084	4967	4672	5766	4808	3014	4071	5893	3043	3048	2805	2701	2779
ENSMUSG00000001095	Slc13a2	chr11:78397086-78422217	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000001098	Kctd10	chr5:114363566-114380508	1163	1760	1135	1267	2335	1350	2539	1334	4025	2476	4527	1875	2512	1560	2659	1425
ENSMUSG00000001100	Poldip2	chr11:78512192-78522736	1109	1703	1364	1361	2788	1556	2791	1533	3013	1765	3519	1309	2627	1349	2584	1532
ENSMUSG00000001103	Sebox	chr11:78503446-78505081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001105	Ift20	chr11:78536360-78541737	215	398	255	344	512	347	483	313	532	280	533	307	457	273	510	286
ENSMUSG00000001119	Col6a1	chr10:76708791-76726168	60	44	52	47	108	35	40	20	267	147	671	215	386	178	637	227
ENSMUSG00000001120	Pcbp3	chr10:76761856-76961887	263	420	295	358	722	315	415	286	584	419	950	398	759	413	797	480
ENSMUSG00000001123	Lgals9	chr11:78962973-78984946	0	0	5	3	33	14	19	2	8	0	30	14	51	19	244	44
ENSMUSG00000001127	Araf	chrX:20848542-20860519	435	974	582	1186	953	1024	900	995	821	737	1038	764	899	628	705	749
ENSMUSG00000001128	Cfp	chrX:20925453-20931555	18	52	25	120	42	83	38	83	43	48	99	112	88	96	43	87
ENSMUSG00000001131	Timp1	chrX:20870165-20874735	43	47	39	46	70	19	49	17	272	116	126	74	167	58	111	61
ENSMUSG00000001134	Uxt	chrX:20951661-20962017	154	208	161	204	359	183	387	171	390	197	436	157	301	183	306	148
ENSMUSG00000001138	Cnnm3	chr1:36511866-36528237	456	858	586	789	1161	773	1035	751	789	692	1094	601	937	588	989	714
ENSMUSG00000001143	Lman2l	chr1:36419870-36445271	490	664	666	711	1022	651	922	573	770	495	1279	510	958	566	959	638
ENSMUSG00000001150	Mcm3ap	chr10:76468926-76515857	1343	2432	1503	1848	3193	1901	2341	1751	3149	2593	5080	2245	3506	2021	3444	2398
ENSMUSG00000001151	Pcnt	chr10:76351262-76442786	1336	2617	1098	1714	2977	1767	2269	1961	2657	2328	4289	1971	3534	2077	2561	2149
ENSMUSG00000001155	Ftcd	chr10:76575647-76589561	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0
ENSMUSG00000001156	Mxd1	chr6:86647041-86669161	150	341	193	310	370	302	343	315	221	198	403	252	417	275	513	492
ENSMUSG00000001157	Gmcl1	chr6:86691767-86733383	444	789	520	956	1278	1076	1121	1127	689	681	976	655	844	655	944	826
