gene_id gene_short_name locus ECT095_R1 ECT095_R2 ECT105_R1 ECT105_R2 ECT115_R1 ECT115_R2 ECT125_R1 ECT125_R2 MES095_R1 MES095_R2 MES105_R1 MES105_R2 MES115_R1 MES115_R2 MES125_R1 MES125_R2
ENSMUSG00000001672 Marveld3 chr8:109947913-109962203 18 30 52 91 71 86 135 88 2 0 2 1 2 2 6 3
ENSMUSG00000002266 Zim1 chr7:6671268-6696450 1553 3909 1862 4481 1326 2342 664 1948 458 834 152 171 68 75 40 64
ENSMUSG00000002384 Bmp8b chr4:123105164-123126091 15 34 43 77 129 147 203 171 0 0 5 1 6 5 0 3
ENSMUSG00000002475 Abhd3 chr18:10644410-10706771 30 34 39 59 91 94 53 40 4 3 6 2 15 6 4 5
ENSMUSG00000002668 Dennd1c chr17:57066055-57078510 36 60 24 45 86 92 25 65 4 0 2 3 11 7 4 5
ENSMUSG00000002799 Jag2 chr12:112907818-112929776 2830 5522 5026 7175 7484 6729 9121 6970 116 101 255 102 283 138 160 117
ENSMUSG00000002980 Bcam chr7:19756130-19771016 8488 9986 13498 11766 22433 12555 23951 12459 559 231 445 85 559 153 104 35
ENSMUSG00000003032 Klf4 chr4:55527142-55532466 42 92 136 208 768 492 842 529 28 18 24 11 62 40 145 46
ENSMUSG00000003134 Tbc1d8 chr1:39371491-39478755 76 138 216 330 223 283 523 302 36 31 92 42 55 50 162 100
ENSMUSG00000003153 Slc2a3 chr6:122727808-122801640 7397 12001 18299 21310 29281 28754 33548 23278 1449 1161 2023 1181 2434 1522 2855 1430
ENSMUSG00000003227 Edar chr10:58600788-58675654 647 1293 761 1300 1122 1110 1039 1009 31 22 343 296 126 261 195 165
ENSMUSG00000003271 Sult2b1 chr7:45729982-45784669 65 65 57 49 58 35 106 35 0 2 17 14 12 7 13 13
ENSMUSG00000003309 Ap1m2 chr9:21294612-21312337 896 1344 987 958 1524 1161 1996 1123 14 3 36 7 39 13 5 0
ENSMUSG00000003382 Etv3 chr3:87525406-87540156 930 1864 1335 1954 1927 1918 3358 2151 567 607 989 581 687 596 1160 684
ENSMUSG00000003534 Ddr1 chr17:35681566-35704621 2084 2639 3055 3065 5436 3872 9567 4133 166 97 418 147 459 210 522 303
ENSMUSG00000004113 Cacna1b chr2:24603886-24763152 511 853 665 795 900 791 1173 771 25 22 60 16 40 25 24 37
ENSMUSG00000004626 Stxbp2 chr8:3630954-3643644 568 918 673 924 1352 997 1525 1059 226 187 390 174 504 210 484 273
ENSMUSG00000004864 Mapk13 chr17:28769306-28778698 415 789 229 284 301 215 705 326 34 20 11 5 49 9 95 53
ENSMUSG00000004951 Hspb1 chr5:135887918-135889563 390 413 2106 1629 2048 1409 2549 999 34 7 108 19 95 36 126 31
ENSMUSG00000005087 Cd44 chr2:102811140-102901665 974 1287 1767 2629 1318 1520 706 641 176 75 150 69 183 92 265 83
ENSMUSG00000005148 Klf5 chr14:99298690-99315036 37 81 93 148 236 163 559 401 8 8 27 19 48 29 90 59
ENSMUSG00000005251 Ripk4 chr16:97741932-97763787 866 1701 1181 1368 1529 1288 3204 1646 22 5 46 16 49 14 24 7
ENSMUSG00000005968 Tuft1 chr3:94612756-94658872 157 268 271 445 522 484 643 471 63 71 131 76 143 74 116 102
ENSMUSG00000006143 Upk3bl chr5:136057190-136064326 47 132 417 351 546 423 690 346 1 3 10 1 13 4 0 1
ENSMUSG00000006154 Eps8l1 chr7:4460701-4480487 18 23 62 99 165 150 178 159 0 2 4 1 10 3 5 10
ENSMUSG00000006313 Upk1a chr7:30603091-30612847 167 106 271 289 62 96 67 41 5 9 26 7 3 7 8 5
ENSMUSG00000006344 Ggt5 chr10:75589339-75617200 31 37 68 109 116 135 61 58 0 0 0 1 4 1 8 1
ENSMUSG00000006345 Ggt1 chr10:75561603-75586200 140 285 130 115 72 87 52 28 11 5 18 8 7 3 7 7
ENSMUSG00000006411 Nectin4 chr1:171370098-171388598 99 112 949 1550 1985 1890 3288 1932 7 1 33 8 43 11 6 1
ENSMUSG00000006777 Krt23 chr11:99477973-99493137 162 276 114 85 104 97 82 33 74 69 61 10 6 11 16 3
ENSMUSG00000006930 Hap1 chr11:100347326-100356128 67 87 33 83 95 72 114 81 12 8 18 2 26 12 48 18
ENSMUSG00000008601 Rab25 chr3:88542028-88548300 209 233 278 284 377 253 631 251 9 2 20 7 8 0 3 2
ENSMUSG00000009376 Met chr6:17463799-17573980 1570 2818 980 1115 528 557 542 457 720 238 62 53 89 110 105 62
ENSMUSG00000009734 Pou6f2 chr13:18121097-18382041 36 46 237 479 209 387 54 72 1 0 8 1 7 3 6 1
ENSMUSG00000010080 Epn3 chr11:94489598-94499974 414 560 421 363 593 412 722 330 17 6 52 15 83 32 157 67
ENSMUSG00000012123 Crybg2 chr4:134060814-134092504 38 67 121 215 411 279 885 397 21 5 31 6 24 10 25 12
ENSMUSG00000012777 Acp4 chr7:44252147-44257378 12 16 58 108 145 92 16 27 0 2 1 0 2 0 0 0
ENSMUSG00000014158 Trpv4 chr5:114622151-114658421 33 58 30 53 91 63 98 77 1 1 2 5 6 2 5 6
ENSMUSG00000014198 Zfp385c chr11:100627542-100692455 9 19 12 8 162 154 35 22 0 0 1 0 11 6 6 2
ENSMUSG00000014773 Dll1 chr17:15367353-15376872 87 138 204 324 277 402 373 341 22 11 15 10 30 23 34 18
ENSMUSG00000014791 Elmo3 chr8:105305608-105310760 117 159 150 220 358 314 463 348 6 23 23 19 38 22 34 32
ENSMUSG00000015094 Npdc1 chr2:25403070-25409494 142 151 109 109 179 168 259 145 78 31 70 26 76 33 111 27
ENSMUSG00000015222 Map2 chr1:66175272-66442583 1142 1759 3108 5467 6135 5245 7574 6371 122 103 686 375 1177 753 2202 1090
ENSMUSG00000015405 Ace2 chrX:164139331-164188420 11 5 23 46 97 42 124 95 0 0 2 0 1 0 0 2
ENSMUSG00000015501 Hivep2 chr10:13966074-14151374 119 296 215 353 306 441 413 416 48 67 73 33 60 41 88 33
ENSMUSG00000015619 Gata3 chr2:9857077-9890034 266 567 187 256 98 135 126 93 47 30 31 17 27 9 34 16
ENSMUSG00000015647 Lama5 chr2:180176372-180225859 6409 11062 10189 15128 22937 17118 23409 21846 389 336 466 199 837 295 305 280
ENSMUSG00000015879 Fam184b chr5:45529704-45639614 48 58 32 52 187 96 567 238 17 16 10 9 12 15 7 13
ENSMUSG00000015957 Wnt11 chr7:98835111-98855195 227 315 225 218 267 219 213 131 183 91 27 4 53 24 73 35
ENSMUSG00000016028 Celsr1 chr15:85898928-86033777 1191 1868 2356 2602 4817 3263 8146 4109 459 257 691 348 1107 568 1121 713
ENSMUSG00000017009 Sdc4 chr2:164424246-164443186 598 784 913 949 1449 940 1894 1098 122 103 212 89 342 130 528 240
ENSMUSG00000017607 Tns4 chr11:99065677-99089306 203 413 431 412 742 505 1429 689 65 50 89 48 74 48 33 41
ENSMUSG00000017754 Pltp chr2:164839517-164857711 1416 1657 2432 2242 4299 2434 5826 3019 26 6 90 28 187 68 144 60
ENSMUSG00000017897 Eya2 chr2:165595031-165771727 264 433 361 411 1073 738 1846 723 33 10 27 8 31 21 62 14
ENSMUSG00000018166 Erbb3 chr10:128567522-128589652 951 1265 1185 1677 2880 2368 3871 2823 102 41 40 17 121 27 281 281
ENSMUSG00000018486 Wnt9b chr11:103727363-103749821 94 138 477 429 566 539 991 677 2 1 21 3 20 6 3 0
ENSMUSG00000018569 Cldn7 chr11:69964778-69967885 964 1486 1375 1680 1414 1393 1253 865 5 13 42 6 22 9 9 5
ENSMUSG00000018634 Crhr1 chr11:104132854-104175523 263 430 801 1028 458 562 173 180 0 0 24 6 9 2 4 1
ENSMUSG00000018648 Dusp14 chr11:84048040-84069261 136 189 192 191 304 203 466 208 51 18 73 31 73 43 140 45
ENSMUSG00000018750 Zbtb4 chr11:69765911-69784023 51 70 110 246 324 254 488 367 19 28 85 53 110 60 156 136
ENSMUSG00000018849 Wwc1 chr11:35838399-35980527 835 1616 1808 2266 2986 2618 3309 2556 332 374 391 169 288 188 248 190
ENSMUSG00000018893 Mb chr15:77015486-77050670 7 15 17 22 18 20 52 24 0 0 0 1 1 0 0 0
ENSMUSG00000019312 Grb7 chr11:98446393-98455373 957 1556 919 954 1254 941 1611 837 62 51 22 17 22 15 15 5
ENSMUSG00000019359 Gdpd2 chrX:100729941-100738894 45 123 74 111 43 54 55 73 0 0 3 0 0 0 2 0
ENSMUSG00000019590 Cyb561 chr11:105933701-105953336 129 239 272 246 361 313 666 369 16 6 64 32 47 44 72 59
ENSMUSG00000019734 Tmc4 chr7:3665789-3677553 168 199 300 420 285 354 181 254 32 22 17 28 13 26 12 24
ENSMUSG00000019806 Aig1 chr10:13647053-13868980 175 227 217 267 315 220 277 201 132 77 39 16 47 19 64 27
ENSMUSG00000019851 Perp chr10:18845019-18857073 3353 4409 4560 4865 8279 5444 12925 7002 25 6 106 36 155 53 19 1
ENSMUSG00000019852 Arfgef3 chr10:18581838-18743949 63 140 298 355 198 228 119 155 6 4 9 4 12 7 26 12
ENSMUSG00000019996 Map7 chr10:20148470-20281590 224 350 306 461 578 523 1011 619 8 8 22 13 32 13 37 21
ENSMUSG00000020000 Moxd1 chr10:24223516-24302790 144 271 924 1184 498 569 721 328 9 8 26 2 18 7 39 9
ENSMUSG00000020023 Tmcc3 chr10:94312023-94590956 529 990 827 930 1103 1150 2037 1192 30 32 73 26 121 78 192 76
ENSMUSG00000020122 Egfr chr11:16752202-16918158 1282 1965 1415 2121 1910 1959 4167 3012 32 17 49 29 63 56 11 4
ENSMUSG00000020387 Jade2 chr11:51813454-51857653 174 426 318 444 458 432 810 604 19 29 25 11 67 21 145 86
ENSMUSG00000020393 Kremen1 chr11:5191551-5261558 3737 7190 5650 7712 7808 6389 5609 4463 989 1144 1292 757 1767 927 1915 1588
ENSMUSG00000020411 Nipal4 chr11:46148154-46166508 17 53 96 119 250 137 396 204 0 0 7 1 9 0 0 2
ENSMUSG00000020524 Gria1 chr11:57011386-57330244 51 77 54 86 88 79 93 62 1 1 4 2 6 5 24 3
ENSMUSG00000020541 Tom1l1 chr11:90643464-90687607 410 739 631 739 1250 893 1831 1150 205 161 244 109 166 118 107 66
ENSMUSG00000020589 Fam49a chr12:12262138-12380965 234 543 771 1039 1036 1230 1049 966 123 125 227 161 307 229 247 269
ENSMUSG00000020607 Fam84a chr12:14146829-14152054 30 53 137 220 289 319 1819 582 13 8 20 3 9 3 30 4
ENSMUSG00000020656 Grhl1 chr12:24572282-24617391 19 48 84 155 150 165 375 239 2 3 2 6 4 11 10 7
ENSMUSG00000020733 Slc9a3r1 chr11:115163340-115181181 1761 2422 2340 1820 2606 1767 2836 1416 839 448 703 170 246 129 137 100
ENSMUSG00000020734 Grin2c chr11:115249168-115267243 81 113 97 194 129 183 45 43 9 2 3 2 6 1 1 1
ENSMUSG00000020758 Itgb4 chr11:115974708-116008412 234 285 526 758 2346 1441 3759 2200 14 12 28 7 61 29 26 9
ENSMUSG00000020782 Llgl2 chr11:115824048-115855780 1289 2012 1126 1122 1215 1026 1577 885 232 167 231 82 71 65 81 72
ENSMUSG00000020871 Dlx4 chr11:95140446-95146263 115 193 99 99 295 153 566 230 5 8 7 1 9 1 9 1
ENSMUSG00000020911 Krt19 chr11:100140809-100146120 1125 1602 682 732 390 426 635 206 90 29 15 6 14 8 2 3
ENSMUSG00000020961 Ston2 chr12:91633008-91786436 1870 3712 2592 3174 3505 3581 5326 4308 184 174 308 155 303 226 132 200
ENSMUSG00000021062 Rab15 chr12:76797959-76822908 1017 1432 2428 2055 3782 2658 4793 2808 146 57 226 91 311 113 399 149
ENSMUSG00000021069 Pygl chr12:70190810-70231488 1281 2172 1478 1567 1289 1193 1174 976 110 76 164 51 197 47 408 208
ENSMUSG00000021070 Bdkrb2 chr12:105563225-105595237 18 17 74 115 129 152 429 271 0 1 6 0 3 4 16 8
ENSMUSG00000021118 Plek2 chr12:78888690-78906964 68 96 130 136 177 160 333 168 32 10 42 18 37 32 56 37
ENSMUSG00000021182 Ccdc88c chr12:100911522-101029056 620 1432 1012 1440 1397 1418 1688 1408 99 98 224 123 172 154 185 154
ENSMUSG00000021411 Pxdc1 chr13:34627833-34653486 107 281 182 249 173 261 206 192 39 17 59 27 24 33 65 27
ENSMUSG00000021508 Cxcl14 chr13:56288642-56296551 404 766 2245 1960 10226 5350 33519 13406 44 5 747 271 832 315 2669 493
ENSMUSG00000021604 Irx4 chr13:73260478-73269608 52 139 134 118 82 126 517 319 6 5 2 4 2 2 0 0
ENSMUSG00000021613 Hapln1 chr13:89539795-89611652 2415 5084 2239 2957 1568 2250 544 769 1400 1020 445 280 248 328 136 117
ENSMUSG00000021636 Marveld2 chr13:100595956-100616971 208 324 305 410 588 458 899 695 10 3 16 12 19 14 11 14
ENSMUSG00000021638 Ocln chr13:100496506-100552718 46 70 151 204 210 272 522 315 5 4 7 1 14 6 2 1
ENSMUSG00000021678 F2rl1 chr13:95511731-95525227 37 59 39 39 25 38 57 16 1 1 0 1 0 0 0 0
ENSMUSG00000021703 Serinc5 chr13:92611090-92711947 823 1321 2029 3111 2563 2983 2001 1572 562 412 1319 811 679 572 443 507
ENSMUSG00000021792 Fam213a chr14:40993739-41013788 330 507 413 531 916 609 1119 712 248 159 258 115 312 171 365 209
ENSMUSG00000021876 Rnase4 chr14:51091076-51106151 225 326 363 417 1069 566 1277 718 22 16 62 43 188 74 355 114
ENSMUSG00000021950 Anxa8 chr14:34085980-34100571 15 10 54 69 702 151 2376 643 0 1 7 1 9 2 0 0
ENSMUSG00000021974 Fgf9 chr14:58070546-58112720 84 119 440 880 698 678 641 597 2 23 8 13 10 14 134 17
ENSMUSG00000022061 Nkx3-1 chr14:69190637-69194662 25 98 58 57 62 89 147 98 3 4 9 3 4 3 0 0
ENSMUSG00000022096 Hr chr14:70553686-70573548 312 512 422 573 1219 837 1724 978 8 3 30 4 41 21 90 42
ENSMUSG00000022101 Fgf17 chr14:70636202-70642268 40 47 360 367 154 241 104 42 0 0 19 3 6 3 0 1
ENSMUSG00000022218 Tgm1 chr14:55700008-55713926 380 472 844 826 727 689 1246 615 7 15 41 13 44 16 21 15
ENSMUSG00000022240 Ctnnd2 chr15:30172592-31029341 175 378 341 490 720 601 792 679 31 45 73 36 33 31 25 34
ENSMUSG00000022270 Retreg1 chr15:25843179-25973687 140 161 172 296 483 406 373 309 34 19 63 22 94 46 130 86
ENSMUSG00000022286 Grhl2 chr15:37233035-37363569 981 2421 1538 2173 2146 2414 3247 2768 12 4 68 12 43 20 16 12
ENSMUSG00000022297 Fzd6 chr15:39006033-39038188 1270 2351 1239 1863 2138 1954 2956 2144 95 60 45 32 131 67 121 77
ENSMUSG00000022382 Wnt7b chr15:85535436-85582473 461 607 2403 2208 6671 3990 13967 5644 9 2 106 15 168 60 25 6
ENSMUSG00000022408 Fam83f chr15:80671846-80700425 69 112 202 227 217 169 377 155 1 1 13 2 7 5 3 1
ENSMUSG00000022479 Vdr chr15:97854424-97910630 44 52 51 65 105 61 73 63 2 3 6 3 10 5 12 5
ENSMUSG00000022510 Trp63 chr16:25683762-25892102 5173 9194 5993 7944 10035 7839 14360 11289 27 14 191 52 219 95 31 14
ENSMUSG00000022512 Cldn1 chr16:26356641-26371841 67 103 363 531 770 634 1798 1028 30 35 19 5 52 9 25 24
ENSMUSG00000022629 Kif21a chr15:90933275-91049948 341 757 586 1372 2051 2070 2520 2787 90 113 290 228 458 400 609 713
ENSMUSG00000022817 Itgb5 chr16:33829664-33949338 5268 6935 11604 9156 12387 7521 14284 7960 2806 1669 3571 1060 2706 1154 2343 1332
ENSMUSG00000022838 Eaf2 chr16:36792883-36874826 19 29 25 50 41 55 42 44 7 2 6 4 10 6 2 7
ENSMUSG00000022900 Ildr1 chr16:36693977-36726804 63 57 89 115 236 169 253 173 0 2 4 0 8 1 6 1
ENSMUSG00000022949 Clic6 chr16:92485735-92541243 324 565 442 460 169 216 103 88 1 27 4 10 33 19 22 12
ENSMUSG00000022986 Krt75 chr15:101563344-101573904 11 30 22 27 130 34 637 137 2 0 4 1 8 4 7 1
ENSMUSG00000022996 Wnt10b chr15:98770711-98778150 56 111 725 1477 369 604 975 487 1 0 14 6 8 4 3 0
ENSMUSG00000023039 Krt7 chr15:101411102-101430313 670 1051 1511 1534 2411 1832 3352 1947 12 9 43 5 45 21 7 1
ENSMUSG00000023043 Krt18 chr15:102028179-102032027 1486 2127 3084 2699 1945 2103 1243 843 234 147 115 23 83 39 35 17
ENSMUSG00000023067 Cdkn1a chr17:29090978-29100722 495 812 1803 1818 1316 2168 1665 805 56 20 103 47 54 32 76 25
ENSMUSG00000023186 Vwa5a chr9:38718267-38743337 291 472 287 383 1014 521 1176 931 107 36 206 100 321 140 487 250
ENSMUSG00000023236 Scg5 chr2:113776361-113829121 57 65 36 39 69 34 50 46 9 9 10 1 6 7 1 1
ENSMUSG00000023391 Dlx2 chr2:71543407-71546754 1888 2993 2875 3364 5263 4405 6943 3297 22 9 104 21 143 61 187 31
ENSMUSG00000023467 Tulp2 chr7:45486261-45523632 289 384 667 731 947 715 735 513 11 9 18 7 20 6 12 8
ENSMUSG00000023805 Synj2 chr17:5941279-6044290 120 180 133 187 194 220 283 216 29 26 55 31 40 18 40 22
ENSMUSG00000023902 Zscan10 chr17:23600855-23611019 286 533 81 98 89 89 103 65 13 13 56 10 15 12 9 10
ENSMUSG00000023905 Tnfrsf12a chr17:23675446-23677449 53 97 103 140 146 93 176 88 15 15 81 39 16 15 37 21
ENSMUSG00000023906 Cldn6 chr17:23679364-23682446 3942 5020 4159 3978 4288 3651 5262 2874 26 38 110 38 114 33 5 1
ENSMUSG00000024013 Fgd2 chr17:29360941-29379553 181 229 189 154 407 220 600 288 8 2 40 18 57 18 36 23
ENSMUSG00000024063 Lbh chr17:72918304-72941942 5028 9221 7348 7894 12169 10370 8627 6734 450 262 1814 779 1191 688 1124 625
ENSMUSG00000024211 Grm8 chr6:27275118-28134545 25 60 165 178 109 103 110 56 2 0 3 2 0 0 7 1
ENSMUSG00000024302 Dtna chr18:23415134-23659715 30 75 64 89 142 122 97 119 25 15 9 11 12 19 13 9
ENSMUSG00000024331 Dsc2 chr18:20030632-20059554 583 1008 1056 1491 1729 2025 2286 1771 121 62 47 43 177 113 87 127
ENSMUSG00000024376 Epb41l4a chr18:33796326-34007206 467 744 869 1045 1491 1114 2090 1316 53 35 83 27 89 47 76 47
ENSMUSG00000024479 Mal2 chr15:54571191-54602847 41 75 67 56 174 113 300 171 1 0 4 0 10 2 11 6
ENSMUSG00000024558 Mapk4 chr18:73928485-74064929 88 175 257 337 484 518 681 611 30 12 61 37 57 51 66 62
ENSMUSG00000024713 Pcsk5 chr19:17432831-17837632 639 1120 1582 1945 1194 1253 630 583 172 124 201 92 178 131 229 152
ENSMUSG00000024883 Rin1 chr19:5050480-5057071 267 425 331 486 583 477 677 526 88 49 101 38 43 38 37 40
ENSMUSG00000024922 Ovol1 chr19:5549136-5560575 58 126 129 157 229 156 414 190 0 1 3 2 3 1 0 0
ENSMUSG00000024924 Vldlr chr19:27217019-27254231 209 545 447 921 278 722 247 450 139 128 62 71 31 45 81 104
ENSMUSG00000024942 Capn1 chr19:5988545-6015825 213 288 350 394 1797 1045 2373 1085 161 93 255 123 518 129 549 297
ENSMUSG00000024987 Cyp26a1 chr19:37697807-37701528 72 100 413 669 1579 1472 1739 1738 19 11 15 4 49 15 0 2
ENSMUSG00000025064 Col17a1 chr19:47646343-47692094 381 400 1289 1808 13882 5433 27570 16549 6 9 60 33 311 87 31 16
ENSMUSG00000025082 Vwa2 chr19:56874248-56912078 733 1336 1479 1910 2639 2056 3093 2070 29 12 163 105 141 127 130 92
ENSMUSG00000025085 Ablim1 chr19:57032732-57314911 1140 2242 2157 3124 4497 3576 6008 4714 408 315 381 204 670 325 918 566
ENSMUSG00000025105 Bnc1 chr7:81966671-81992292 265 629 619 909 988 1148 1045 829 98 70 31 12 33 27 13 21
ENSMUSG00000025150 Cbr2 chr11:120729488-120732114 328 461 584 481 397 316 565 316 0 1 32 2 5 1 1 2
ENSMUSG00000025219 Fgf8 chr19:45736797-45742915 3394 3215 18003 13528 4726 6246 1390 1120 19 2 263 49 80 31 4 1
ENSMUSG00000025321 Itgb8 chr12:119158021-119238802 120 176 371 663 215 421 349 334 6 14 31 33 40 71 84 115
ENSMUSG00000025328 Padi3 chr4:140785364-140810648 586 968 1066 1013 704 638 511 383 14 11 407 117 62 71 10 19
ENSMUSG00000025481 Urah chr7:140835017-140837966 44 54 52 48 98 63 130 60 0 0 1 0 8 0 1 0
ENSMUSG00000025504 Eps8l2 chr7:141338879-141363020 217 269 395 552 839 552 1206 659 8 12 20 11 92 26 121 55
ENSMUSG00000025510 Cd151 chr7:141467392-141471473 2168 3131 2568 2799 3011 2590 3805 2133 1350 727 1361 625 809 506 678 520
ENSMUSG00000025658 Cnksr2 chrX:157821435-158043294 487 1142 512 1066 715 904 495 852 115 211 239 117 127 146 165 188
ENSMUSG00000025854 Fam20c chr5:138754513-138810077 223 197 668 636 562 402 346 250 15 9 16 4 25 4 17 15
ENSMUSG00000025856 Pdgfa chr5:138976013-138997370 3523 7602 4495 5851 4660 4964 4959 3892 48 33 147 50 144 72 78 57
ENSMUSG00000025885 Myo5b chr18:74440935-74771493 171 184 343 471 367 465 440 375 12 12 11 4 19 9 7 14
ENSMUSG00000025997 Ikzf2 chr1:69531213-69687245 144 553 280 786 383 930 492 975 26 33 30 15 13 23 8 27
ENSMUSG00000026131 Dst chr1:33908224-34308661 816 2250 1962 4469 8912 6416 11502 12482 460 804 931 601 1162 807 1290 1385
ENSMUSG00000026167 Wnt10a chr1:74791515-74804179 116 144 494 380 648 448 727 291 0 0 23 1 10 2 2 0
ENSMUSG00000026185 Igfbp5 chr1:72857931-72874884 53326 61924 67957 79653 112301 74386 84743 78546 3247 2294 1906 450 2297 664 668 395
ENSMUSG00000026255 Efhd1 chr1:87264362-87310839 30 32 46 100 59 64 47 35 3 3 4 4 5 1 2 5
ENSMUSG00000026304 Rab17 chr1:90958132-90969661 16 29 20 41 69 46 60 58 1 2 1 5 7 1 1 3
ENSMUSG00000026413 Pkp1 chr1:135871394-135919207 64 156 491 852 1666 1283 3551 1916 1 4 11 1 36 10 5 20
ENSMUSG00000026435 Slc45a3 chr1:131962966-131982969 123 239 134 232 108 161 118 89 52 21 34 19 30 21 36 18
ENSMUSG00000026478 Lamc1 chr1:153218921-153332786 7675 10193 9967 9889 20157 11237 24013 14586 5472 3285 7493 2611 5612 2571 7101 3323
ENSMUSG00000026479 Lamc2 chr1:153122755-153186447 927 1028 2396 2717 7018 4760 7443 4067 9 6 86 12 167 37 183 15
ENSMUSG00000026483 Fam129a chr1:151571185-151721939 688 1254 540 580 441 444 645 304 4 5 27 15 45 17 33 18
ENSMUSG00000026604 Ptpn14 chr1:189728267-189876695 1912 3944 3319 4161 5219 4506 8064 5433 869 1047 1540 774 1270 750 1829 1226
ENSMUSG00000026638 Irf6 chr1:193153110-193172023 589 922 2063 3180 3984 3855 5128 3546 3 12 60 15 93 34 43 21
ENSMUSG00000026639 Lamb3 chr1:193207724-193343878 237 182 366 394 2383 997 2674 1613 3 2 3 4 55 10 3 0
ENSMUSG00000026640 Plxna2 chr1:194619824-194816869 2512 4151 1628 2909 2616 2573 1822 1919 1532 1491 667 274 211 187 221 167
ENSMUSG00000026765 Lypd6b chr2:49787687-49948849 243 285 574 679 1211 985 1004 767 2 3 17 8 52 10 38 23
ENSMUSG00000026831 1700007K13Rik chr2:28462000-28466332 32 37 33 34 64 28 77 26 7 1 4 1 3 2 3 3
ENSMUSG00000026972 Arrdc1 chr2:24925351-24935252 155 319 195 322 491 421 760 549 27 13 68 40 111 57 138 106
ENSMUSG00000026979 Psd4 chr2:24367579-24414954 44 104 110 209 283 166 325 152 8 4 39 26 52 27 49 17
ENSMUSG00000026994 Galnt3 chr2:66082765-66124994 58 137 104 135 140 128 149 117 18 7 5 2 5 4 8 0
ENSMUSG00000027009 Itga4 chr2:79255499-79333123 2708 2919 1868 3062 7938 5227 3168 5462 294 226 114 100 270 237 73 64
ENSMUSG00000027070 Lrp2 chr2:69424339-69586065 98 269 36 50 39 44 44 67 23 112 2 3 0 0 0 2
ENSMUSG00000027111 Itga6 chr2:71786939-71856771 3979 6451 4536 5548 5632 4854 5438 4294 712 484 1351 649 1258 744 1849 890
ENSMUSG00000027171 Prrg4 chr2:104830740-104849876 45 109 66 106 123 189 136 132 3 1 5 4 4 3 7 3
ENSMUSG00000027220 Syt13 chr2:92915097-92956058 35 51 192 172 180 195 266 180 19 9 11 15 26 25 8 3
ENSMUSG00000027246 Ell3 chr2:121439009-121444278 110 225 156 241 184 207 297 239 4 2 20 8 45 20 59 34
ENSMUSG00000027293 Ehd4 chr2:120089174-120154606 1647 2955 1617 1660 2673 2098 2380 1596 909 678 1085 451 798 425 727 459
