gene_id	gene_short_name	locus	E9.5_l2fc	E9.5_padj	E10.5_l2fc	E10.5_padj	E11.5_l2fc	E11.5_padj	E12.5_l2fc	E12.5_padj	is.ECT	is.MES	is.never.signif	status
ENSMUSG00000000103	Zfy2	chrY:2106014-2170409	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000120	Ngfr	chr11:95568817-95587735	NA	NA	NA	NA	NA	NA	3.61543001291252	1.78283562226793e-18	FALSE	TRUE	FALSE	MES_spe
ENSMUSG00000000125	Wnt3	chr11:103774149-103817957	-8.01408132358861	7.3669315860423e-43	-6.3215682347499	1.04916876049742e-64	-5.82524785549624	4.34606197445428e-41	-8.97184364590666	1.10174227604431e-50	TRUE	FALSE	FALSE	ECT_spe
ENSMUSG00000000126	Wnt9a	chr11:59306927-59333552	-3.37230713998195	0.00727640119724841	-3.61672843942159	0.00150199765325991	NA	NA	NA	NA	TRUE	FALSE	FALSE	ECT_spe
ENSMUSG00000000127	Fer	chr17:63896017-64139494	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000131	Xpo6	chr7:126101714-126200501	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000134	Tfe3	chrX:7762657-7775202	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000142	Axin2	chr11:108920348-108950783	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000148	Brat1	chr5:140705010-140719379	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000149	Gna12	chr5:140758407-140830431	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000154	Slc22a18	chr7:143473735-143499334	-4.12968668218531	0.00464821958211448	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	ECT_spe
ENSMUSG00000000157	Itgb2l	chr16:96422287-96443619	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000159	Igsf5	chr16:96361667-96525580	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000167	Pih1d2	chr9:50617320-50624997	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000168	Dlat	chr9:50634632-50659780	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000171	Sdhd	chr9:50596356-50603812	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000182	Fgf23	chr6:127072901-127081408	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000183	Fgf6	chr6:127015585-127028187	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000184	Ccnd2	chr6:127125161-127152193	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000194	Gpr107	chr2:31152315-31218775	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000197	Nalcn	chr14:123276633-123627144	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000202	Btbd17	chr11:114791216-114795897	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000204	Slfn4	chr11:83175185-83190216	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000214	Th	chr7:142892751-142931128	-7.23664971334271	4.51839936682565e-05	-8.68792837823183	1.05720122087977e-06	NA	NA	NA	NA	TRUE	FALSE	FALSE	ECT_spe
ENSMUSG00000000215	Ins2	chr7:142678655-142743381	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000216	Scnn1g	chr7:121734478-121768475	NA	NA	NA	NA	NA	NA	-6.13054254040099	0.0300900715125633	TRUE	FALSE	FALSE	ECT_spe
ENSMUSG00000000223	Drp2	chrX:134404550-134456573	NA	NA	2.11757271481315	0.000362005364203855	2.16478303407394	0.0017812956139645	2.94988278767669	2.98445938481592e-09	FALSE	TRUE	FALSE	MES_spe
ENSMUSG00000000244	Tspan32	chr7:143005045-143019644	NA	NA	5.78526870859016	0.00357084807405115	4.79452604882687	0.0179577817715502	6.18397617618332	0.0217743195677777	FALSE	TRUE	FALSE	MES_spe
ENSMUSG00000000247	Lhx2	chr2:38339280-38369733	3.75921826776804	4.20350410122591e-27	3.69219399836491	1.85734684814458e-40	NA	NA	4.94814327206714	3.15616392564441e-55	FALSE	TRUE	FALSE	MES_spe
ENSMUSG00000000248	Clec2g	chr6:128934380-128984707	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000253	Gmpr	chr13:45507443-45546382	NA	NA	1.70877856454588	0.000267248971392506	NA	NA	NA	NA	FALSE	TRUE	FALSE	MES_spe
ENSMUSG00000000263	Glra1	chr11:55514237-55608198	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000266	Mid2	chrX:140664598-140767715	-2.86416361326398	3.48138112770645e-17	-3.74258354045554	2.54838238699319e-28	-2.98004727050182	9.80400829590164e-14	-3.51497705945373	4.59014948730936e-25	TRUE	FALSE	FALSE	ECT_spe
ENSMUSG00000000275	Trim25	chr11:88999375-89020293	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000276	Dgke	chr11:89035178-89066850	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000278	Scpep1	chr11:88924019-88955465	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000282	Mnt	chr11:74830919-74845725	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000290	Itgb2	chr10:77530251-77565686	NA	NA	4.87629918359113	0.0395121093945666	3.42167086831652	0.0418262144022831	5.56287909802334	0.0115298330463487	FALSE	TRUE	FALSE	MES_spe
ENSMUSG00000000295	Hddc2	chr10:31313382-31328204	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000296	Tpd52l1	chr10:31332375-31445958	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000301	Pemt	chr11:59970613-60046489	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000303	Cdh1	chr8:106603350-106670246	-7.79507068038266	2.64553106381931e-129	-6.83209451738755	3.56389440179469e-47	-6.21572858472142	1.11915669054337e-65	-8.9791054033022	1.44304827518212e-85	TRUE	FALSE	FALSE	ECT_spe
ENSMUSG00000000305	Cdh4	chr2:179442430-179899373	NA	NA	NA	NA	NA	NA	3.13600436661395	1.63940356404954e-10	FALSE	TRUE	FALSE	MES_spe
ENSMUSG00000000308	Ckmt1	chr2:121357713-121363737	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000317	Bcl6b	chr11:70224127-70229739	4.01851388521791	2.54153759913915e-12	3.69929417493842	2.22106443862629e-09	4.53502328368898	7.47751470012396e-15	4.68752624102166	2.54327315686886e-13	FALSE	TRUE	FALSE	MES_spe
ENSMUSG00000000318	Clec10a	chr11:70156196-70170834	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000320	Alox12	chr11:70241456-70255353	-1.85536812363907	0.0139870593185544	-1.99908170171253	7.12897951305222e-05	NA	NA	-1.93596734981546	0.00142489033906313	TRUE	FALSE	FALSE	ECT_spe
ENSMUSG00000000325	Arvcf	chr16:18348181-18407076	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000326	Comt	chr16:18406885-18426852	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000339	Rtca	chr3:116488962-116508208	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000340	Dbt	chr3:116513069-116549981	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000346	Dazap2	chr15:100615348-100620761	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000355	Mcts1	chrX:38600654-38613426	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000359	Rem1	chr2:152626950-152635194	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000365	Rnf17	chr14:56402580-56525032	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000374	Trappc10	chr10:78186724-78244641	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000378	Ccm2	chr11:6546886-6596744	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000381	Wap	chr11:6635481-6638637	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000384	Tbrg4	chr11:6615598-6626067	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000385	Tmprss2	chr16:97564681-97611195	NA	NA	-9.57034495786782	1.18301185114312e-08	-6.25783607768276	1.47345320966405e-07	-9.75331952044143	4.04672182355912e-09	TRUE	FALSE	FALSE	ECT_spe
ENSMUSG00000000386	Mx1	chr16:97447036-97462906	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000392	Fap	chr2:62500942-62574075	NA	NA	-4.7391780102666	3.09790205347531e-05	-6.24475876620979	8.70375849996469e-12	-3.31120454283824	7.98667217226163e-05	TRUE	FALSE	FALSE	ECT_spe
ENSMUSG00000000394	Gcg	chr2:62474529-62483650	NA	NA	-6.49662836053064	0.000748988879391945	-5.73130052888856	1.94400662460865e-10	-3.66268547714243	4.28738178947695e-06	TRUE	FALSE	FALSE	ECT_spe
ENSMUSG00000000399	Ndufa9	chr6:126821720-126849125	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000402	Egfl6	chrX:166523006-166585720	-4.77701421318777	1.52955588681417e-08	-4.34628757408821	3.11884955298854e-20	-3.25687616885469	5.65957546820514e-08	-2.43553268450989	1.84179559485991e-05	TRUE	FALSE	FALSE	ECT_spe
ENSMUSG00000000409	Lck	chr4:129548343-129573641	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000411	Tssk3	chr4:129489013-129491022	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000416	Cttnbp2	chr6:18366564-18514821	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000420	Galnt1	chr18:24205343-24286818	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000435	Myf5	chr10:107482907-107486134	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000439	Mkrn2	chr6:115601901-115622624	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000440	Pparg	chr6:115360950-115490399	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000441	Raf1	chr6:115618568-115676635	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000486	Sept1	chr7:127214461-127232646	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000489	Pdgfb	chr15:79995873-80014808	3.18867232329198	7.40267891272963e-08	2.78594250595127	2.23421734248086e-05	1.86301318418308	0.00543540607660217	1.95314140786929	0.00090378394887706	FALSE	TRUE	FALSE	MES_spe
ENSMUSG00000000530	Acvrl1	chr15:101128521-101145336	3.62779984737934	3.05560236081959e-15	2.8570086699719	3.76851714850038e-09	2.82942919461457	8.48684359402146e-09	1.90515274302686	5.59023952604122e-05	FALSE	TRUE	FALSE	MES_spe
ENSMUSG00000000531	Grasp	chr15:101224187-101232756	1.7751872980509	0.00111726976657685	NA	NA	NA	NA	NA	NA	FALSE	TRUE	FALSE	MES_spe
ENSMUSG00000000532	Acvr1b	chr15:101174066-101213684	NA	NA	-1.70122817838839	2.0584098139797e-09	-1.82076557059688	2.32250974372712e-05	-2.1923713567165	1.28896136135093e-09	TRUE	FALSE	FALSE	ECT_spe
ENSMUSG00000000538	Tom1l2	chr11:60226713-60352905	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000544	Gpa33	chr1:166130237-166166510	NA	NA	NA	NA	NA	NA	-7.16223616010543	3.09404669539502e-10	TRUE	FALSE	FALSE	ECT_spe
ENSMUSG00000000552	Zfp385a	chr15:103313894-103340093	NA	NA	-1.56764897175794	6.44963845046568e-05	NA	NA	NA	NA	TRUE	FALSE	FALSE	ECT_spe
ENSMUSG00000000555	Itga5	chr15:103344285-103366763	NA	NA	1.5158330566699	4.37633378414975e-07	NA	NA	1.84800121030648	1.23754118183103e-06	FALSE	TRUE	FALSE	MES_spe
ENSMUSG00000000560	Gabra2	chr5:70957596-71095849	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000561	Wdr77	chr3:105959368-105969760	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000562	Adora3	chr3:105870857-105908926	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000563	Atp5f1	chr3:105942697-105960099	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000567	Sox9	chr11:112782223-112787760	NA	NA	NA	NA	2.06415493943945	0.000111923022908175	3.67914166393925	2.55091336961368e-30	FALSE	TRUE	FALSE	MES_spe
ENSMUSG00000000568	Hnrnpd	chr5:99955934-99978938	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000579	Dynlt1c	chr17:6601670-6609679	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000581	C1d	chr11:17257593-17269176	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000594	Gm2a	chr11:55098114-55113029	-1.50566061294423	0.00717013279736263	-1.64889081917117	9.22816552661976e-05	NA	NA	NA	NA	TRUE	FALSE	FALSE	ECT_spe
ENSMUSG00000000600	Krit1	chr5:3803183-3845564	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000605	Clcn4	chr7:7282308-7299533	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000606	Vmn2r88	chr14:51410818-51419527	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000617	Grm6	chr11:50850684-50866206	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000627	Sema4f	chr6:82911884-82939769	NA	NA	NA	NA	NA	NA	-2.05377028142709	2.27476321756696e-06	TRUE	FALSE	FALSE	ECT_spe
ENSMUSG00000000628	Hk2	chr6:82725024-82774454	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000631	Myo18a	chr11:77763245-77865980	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000632	Sez6	chr11:77930799-77979048	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000673	Haao	chr17:83831355-83846790	-7.4706377235107	1.8055662504932e-05	-7.31292348724748	1.04320961887412e-08	-6.17063014222818	6.69285512320948e-10	-8.78975767907775	9.10137559030662e-08	TRUE	FALSE	FALSE	ECT_spe
ENSMUSG00000000682	Cd52	chr4:134093535-134095082	NA	NA	NA	NA	NA	NA	5.94061932186966	0.0441359400011302	FALSE	TRUE	FALSE	MES_spe
ENSMUSG00000000686	Abhd15	chr11:77515120-77538607	-3.48840002094463	0.000571450574293235	-2.92949964952838	5.99252126869422e-05	NA	NA	NA	NA	TRUE	FALSE	FALSE	ECT_spe
ENSMUSG00000000690	Hoxb6	chr11:96292475-96301569	2.58654864369364	8.74711693452334e-14	NA	NA	NA	NA	NA	NA	FALSE	TRUE	FALSE	MES_spe
ENSMUSG00000000693	Loxl3	chr6:83034172-83052562	NA	NA	NA	NA	NA	NA	1.63267925313748	0.000606707714737472	FALSE	TRUE	FALSE	MES_spe
ENSMUSG00000000701	Tcl1b5	chr12:105176343-105181145	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000706	Btn1a1	chr13:23456991-23465901	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000708	Kat2b	chr17:53566970-53672720	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000711	Rab5b	chr10:128677174-128696264	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000724	Cryba1	chr11:77718626-77725283	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000730	Dnmt3l	chr10:78042286-78063622	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000731	Aire	chr10:78030021-78043580	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000732	Icosl	chr10:78069301-78083913	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000738	Spg7	chr8:123062941-123097760	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000739	Sult5a1	chr8:123140191-123158270	NA	NA	-2.21450395683712	0.0165240011854778	-3.15283930371416	1.42026820402997e-07	-3.6468259664566	8.89299814481815e-13	TRUE	FALSE	FALSE	ECT_spe
ENSMUSG00000000740	Rpl13	chr8:123102349-123105244	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000743	Chmp1a	chr8:123204263-123212760	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000751	Rpa1	chr11:75298165-75348324	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000753	Serpinf1	chr11:75409768-75422701	NA	NA	2.42459934951423	8.01293923619166e-14	1.60113295193659	0.0243312738744875	3.40355027896398	5.21671615667501e-28	FALSE	TRUE	FALSE	MES_spe
ENSMUSG00000000759	Tubgcp3	chr8:12614276-12672248	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000766	Oprm1	chr10:6758505-7038198	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000776	Polr3d	chr14:70438756-70443447	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000782	Tcf7	chr11:52252370-52283014	NA	NA	-1.94823081932242	1.1649460195219e-12	NA	NA	NA	NA	TRUE	FALSE	FALSE	ECT_spe
ENSMUSG00000000787	Ddx3x	chrX:13280969-13294052	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000791	Il12rb1	chr8:70808448-70821424	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000792	Slc5a5	chr8:70882888-70892757	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000794	Kcnn3	chr3:89520163-89667761	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000804	Usp32	chr11:84984441-85140038	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000805	Car4	chr11:84957787-84966044	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000811	Txnrd3	chr6:89643987-89675529	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000817	Fasl	chr1:161780688-161788495	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000823	Zfp512b	chr2:181582102-181592803	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000826	Dnajc5	chr2:181520484-181555133	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000827	Tpd52l2	chr2:181497164-181517966	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000838	Fmr1	chrX:68678540-68717963	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000861	Bcl11a	chr11:24078055-24174123	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000869	Il4	chr11:53612459-53618669	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000876	Pxmp4	chr2:154585757-154603708	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000881	Dlg3	chrX:100767721-100818408	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000884	Gnb1l	chr16:18498712-18566679	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000889	Dbh	chr2:27165232-27183200	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000901	Mmp11	chr10:75923221-75936496	-1.84890038366761	2.0296552447932e-06	-1.80751271171766	1.12354812690379e-07	NA	NA	NA	NA	TRUE	FALSE	FALSE	ECT_spe
ENSMUSG00000000902	Smarcb1	chr10:75896768-75921617	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000903	Vpreb3	chr10:75943056-75949657	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000915	Hip1r	chr5:123973627-124005558	-1.52893529107904	2.53345792112481e-05	-1.50542627283893	7.6390339194683e-07	-1.55007176232691	3.04624136001358e-06	-2.40099853132582	4.64605349739738e-13	TRUE	FALSE	FALSE	ECT_spe
ENSMUSG00000000916	Nsun5	chr5:135369952-135376798	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000934	Top1mt	chr15:75657034-75678800	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000938	Hoxa10	chr6:52231196-52240854	4.52778461551224	3.01651671086091e-30	3.1376030446933	2.25272691582365e-23	2.49598879551767	0.000111703658090052	5.07467207600336	3.22921734377215e-52	FALSE	TRUE	FALSE	MES_spe
ENSMUSG00000000942	Hoxa4	chr6:52189670-52191753	1.71232150762902	0.000200256097206346	NA	NA	NA	NA	NA	NA	FALSE	TRUE	FALSE	MES_spe
ENSMUSG00000000957	Mmp14	chr14:54431611-54445364	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000958	Slc7a7	chr14:54369441-54417780	NA	NA	NA	NA	NA	NA	2.89057977908197	3.072525345818e-05	FALSE	TRUE	FALSE	MES_spe
ENSMUSG00000000959	Oxa1l	chr14:54360840-54369673	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000976	Heatr6	chr11:83753695-83783754	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000982	Ccl3	chr11:83647843-83649355	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000983	Wfdc18	chr11:83709014-83711348	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000001014	Icam4	chr9:21029372-21030595	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000001016	Ilf2	chr3:90476146-90488379	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000001017	Chtop	chr3:90498955-90509498	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000001018	Snapin	chr3:90488033-90491033	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000001020	S100a4	chr3:90603770-90606045	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
